Year,State,Number in Poverty,Percent in Poverty
2011',Alabama,896117,19
2011',Alaska,76021,11
2011',Arizona,1201376,19
2011',Arkansas,550079,19
2011',California,6121726,17
2011',Colorado,669267,13
2011',Connecticut,373284,11
2011',Delaware,111176,13
2011',District of Columbia,111906,19
2011',Florida,3178155,17
2011',Georgia,1836715,19
2011',Hawaii,161606,12
2011',Idaho,256257,17
2011',Illinois,1871484,15
2011',Indiana,1001053,16
2011',Iowa,376300,13
2011',Kansas,383859,14
2011',Kentucky,809764,19
2011',Louisiana,910266,21
2011',Maine,183723,14
2011',Maryland,581244,10
2011',Massachusetts,740512,12
2011',Michigan,1687624,18
2011',Minnesota,617185,12
2011',Mississippi,658232,23
2011',Missouri,922103,16
2011',Montana,148183,15
2011',Nebraska,230003,13
2011',Nevada,423195,16
2011',New Hampshire,114906,9
2011',New Jersey,897916,10
2011',New Mexico,427340,21
2011',New York,3043461,16
2011',North Carolina,1673627,18
2011',North Dakota,79124,12
2011',Ohio,1836098,16
2011',Oklahoma,636083,17
2011',Oregon,655245,17
2011',Pennsylvania,1690003,14
2011',Rhode Island,148079,15
2011',South Carolina,852999,19
2011',South Dakota,112258,14
2011',Tennessee,1148161,18
2011',Texas,4627604,19
2011',Utah,377396,14
2011',Vermont,71378,12
2011',Virginia,912779,12
2011',Washington,931605,14
2011',West Virginia,336658,19
2011',Wisconsin,728099,13
2011',Wyoming,62801,11
2012',Alabama,896515,19
2012',Alaska,77494,11
2012',Arizona,1195931,19
2012',Arkansas,560928,20
2012',California,6323433,17
2012',Colorado,688715,14
2012',Connecticut,370537,11
2012',Delaware,113316,13
2012',District of Columbia,112719,19
2012',Florida,3248276,17
2012',Georgia,1852459,19
2012',Hawaii,159988,12
2012',Idaho,250203,16
2012',Illinois,1847371,15
2012',Indiana,984948,16
2012',Iowa,377110,13
2012',Kansas,392095,14
2012',Kentucky,821067,19
2012',Louisiana,900395,20
2012',Maine,186484,14
2012',Maryland,597705,10
2012',Massachusetts,762971,12
2012',Michigan,1677776,17
2012',Minnesota,597515,11
2012',Mississippi,689116,24
2012',Missouri,945435,16
2012',Montana,153105,16
2012',Nebraska,230375,13
2012',Nevada,441373,16
2012',New Hampshire,123773,10
2012',New Jersey,934277,11
2012',New Mexico,421123,21
2012',New York,3040207,16
2012',North Carolina,1706255,18
2012',North Dakota,75251,11
2012',Ohio,1818886,16
2012',Oklahoma,636134,17
2012',Oregon,651302,17
2012',Pennsylvania,1688364,14
2012',Rhode Island,143625,14
2012',South Carolina,837327,18
2012',South Dakota,109661,14
2012',Tennessee,1135205,18
2012',Texas,4565185,18
2012',Utah,364124,13
2012',Vermont,71626,12
2012',Virginia,936384,12
2012',Washington,916976,14
2012',West Virginia,323978,18
2012',Wisconsin,738226,13
2012',Wyoming,66879,12
2013',Alabama,889091,19
2013',Alaska,72643,10
2013',Arizona,1206948,19
2013',Arkansas,557399,19
2013',California,6328064,17
2013',Colorado,665351,13
2013',Connecticut,373387,11
2013',Delaware,115774,13
2013',District of Columbia,115096,19
2013',Florida,3268130,17
2013',Georgia,1849944,19
2013',Hawaii,153375,11
2013',Idaho,246708,16
2013',Illinois,1841996,15
2013',Indiana,1008411,16
2013',Iowa,377037,13
2013',Kansas,391718,14
2013',Kentucky,803044,19
2013',Louisiana,897284,20
2013',Maine,181386,14
2013',Maryland,591457,10
2013',Massachusetts,770922,12
2013',Michigan,1646038,17
2013',Minnesota,592526,11
2013',Mississippi,692058,24
2013',Missouri,928778,16
2013',Montana,159248,16
2013',Nebraska,234742,13
2013',Nevada,433267,16
2013',New Hampshire,115146,9
2013',New Jersey,995390,11
2013',New Mexico,437923,21
2013',New York,3068230,16
2013',North Carolina,1711331,18
2013',North Dakota,81055,12
2013',Ohio,1793523,16
2013',Oklahoma,624209,17
2013',Oregon,637505,17
2013',Pennsylvania,1687854,14
2013',Rhode Island,148275,15
2013',South Carolina,858553,19
2013',South Dakota,114291,14
2013',Tennessee,1128618,18
2013',Texas,4531427,18
2013',Utah,360119,13
2013',Vermont,73947,12
2013',Virginia,941059,12
2013',Washington,963088,14
2013',West Virginia,331674,18
2013',Wisconsin,753709,14
2013',Wyoming,62118,11
2014',Alabama,905682,19
2014',Alaska,81622,11
2014',Arizona,1195889,18
2014',Arkansas,539999,19
2014',California,6253423,16
2014',Colorado,632987,12
2014',Connecticut,375281,11
2014',Delaware,118032,13
2014',District of Columbia,114790,18
2014',Florida,3231142,17
2014',Georgia,1802783,18
2014',Hawaii,158266,12
2014',Idaho,237604,15
2014',Illinois,1802337,14
2014',Indiana,968437,15
2014',Iowa,368678,12
2014',Kansas,381506,14
2014',Kentucky,812803,19
2014',Louisiana,898902,20
2014',Maine,181737,14
2014',Maryland,604762,10
2014',Massachusetts,760211,12
2014',Michigan,1567465,16
2014',Minnesota,607870,11
2014',Mississippi,634960,22
2014',Missouri,908394,16
2014',Montana,151915,15
2014',Nebraska,225054,12
2014',Nevada,430447,15
2014',New Hampshire,117822,9
2014',New Jersey,972441,11
2014',New Mexico,420388,21
2014',New York,3082613,16
2014',North Carolina,1663954,17
2014',North Dakota,79203,11
2014',Ohio,1778288,16
2014',Oklahoma,623162,17
2014',Oregon,637156,16
2014',Pennsylvania,1679008,14
2014',Rhode Island,149825,15
2014',South Carolina,838065,18
2014',South Dakota,115906,14
2014',Tennessee,1165245,18
2014',Texas,4519548,17
2014',Utah,341587,12
2014',Vermont,72294,12
2014',Virginia,955541,12
2014',Washington,913463,13
2014',West Virginia,328734,18
2014',Wisconsin,737307,13
2014',Wyoming,63860,11
2015',Alabama,875853,19
2015',Alaska,74941,10
2015',Arizona,1159046,17
2015',Arkansas,540733,19
2015',California,5896255,15
2015',Colorado,614410,12
2015',Connecticut,367867,11
2015',Delaware,115655,13
2015',District of Columbia,113185,18
2015',Florida,3129061,16
